epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.328,0.7745,2.83346,0.90712,0.78244,0.24352,0.37415,0.31616,0.76369,2.6701,0.94453,0.000235948,0.000235948,0.000235948
2,212.225,0.60051,1.33956,0.86301,0.73007,0.51418,0.58138,0.48984,0.75226,1.49956,0.93026,0.000464564,0.000464564,0.000464564
3,318.145,0.52337,0.87823,0.85297,0.80991,0.55369,0.61256,0.50273,0.7561,1.43004,0.95867,0.000683755,0.000683755,0.000683755
4,423.603,0.48415,0.67979,0.84381,0.82269,0.56814,0.61819,0.52926,0.63996,1.6432,0.91393,0.000671588,0.000671588,0.000671588
5,529.63,0.41722,0.5586,0.82701,0.83905,0.62132,0.67653,0.56688,0.683,1.17713,0.9092,0.000657451,0.000657451,0.000657451
6,634.593,0.41466,0.52922,0.82959,0.89816,0.65588,0.70581,0.60358,0.62504,1.01202,0.88779,0.000643314,0.000643314,0.000643314
7,739.134,0.42547,0.54656,0.82904,0.898,0.65191,0.71007,0.61595,0.57974,0.98508,0.88462,0.000629177,0.000629177,0.000629177
8,843.785,0.40827,0.51099,0.82899,0.85455,0.63489,0.67668,0.57422,0.59977,1.30409,0.88219,0.00061504,0.00061504,0.00061504
9,947.951,0.37811,0.44588,0.81715,0.89545,0.67499,0.73074,0.63369,0.55613,0.99148,0.86757,0.000600902,0.000600902,0.000600902
10,1052.52,0.3943,0.47534,0.81882,0.89982,0.62646,0.71507,0.61039,0.59591,1.00515,0.8866,0.000586765,0.000586765,0.000586765
11,1156.77,0.39139,0.45146,0.81959,0.84072,0.63558,0.66925,0.57234,0.59886,1.39232,0.88258,0.000572628,0.000572628,0.000572628
12,1261.27,0.36944,0.42968,0.8226,0.90171,0.64823,0.71912,0.62424,0.55832,0.93354,0.88623,0.000558491,0.000558491,0.000558491
13,1365.18,0.34985,0.40585,0.81674,0.87924,0.68606,0.72145,0.61883,0.58687,0.90813,0.89421,0.000544354,0.000544354,0.000544354
14,1469.48,0.36077,0.41381,0.81653,0.91968,0.68279,0.74761,0.65076,0.5678,0.76676,0.88688,0.000530216,0.000530216,0.000530216
15,1573.61,0.32741,0.35897,0.80528,0.9143,0.66244,0.74028,0.63938,0.5687,0.90288,0.8843,0.000516079,0.000516079,0.000516079
